identifier,source_ref,dimension,dataset_id,indicator_id,policy_count,status,error
urn:sds:reg:esrs:bp_1_01,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_1_01,urn:ngsi-ld:Indicator:Basis_for_preparation_of_sustainability_statement,2,success,
urn:sds:reg:esrs:bp_1_02,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_1_02,urn:ngsi-ld:Indicator:Scope_of_consolidation_of_consolidated_sustainability_statement_is_same_as_for_financial_stateme,2,success,
urn:sds:reg:esrs:bp_1_03,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_1_03,urn:ngsi-ld:Indicator:Indication_of_subsidiary_undertakings_included_in_consolidation_that_are_exempted_from_individua,2,success,
urn:sds:reg:esrs:bp_1_04,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_1_04,urn:ngsi-ld:Indicator:Disclosure_of_extent_to_which_sustainability_statement_covers_upstream_and_downstream_value_chai,2,success,
urn:sds:reg:esrs:bp_1_05,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_1_05,urn:ngsi-ld:Indicator:Option_to_omit_specific_piece_of_information_corresponding_to_intellectual_property_know-how_or_,2,success,
urn:sds:reg:esrs:bp_1_06,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_1_06,urn:ngsi-ld:Indicator:Option_allowed_by_Member_State_to_omit_disclosure_of_impending_developments_or_matters_in_course,2,success,
urn:sds:reg:esrs:bp_2_01,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_01,urn:ngsi-ld:Indicator:Disclosure_of_definitions_of_medium-_or_long-term_time_horizons,2,success,
urn:sds:reg:esrs:bp_2_02,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_02,urn:ngsi-ld:Indicator:Disclosure_of_reasons_for_applying_different_definitions_of_time_horizons,2,success,
urn:sds:reg:esrs:bp_2_03,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_03,urn:ngsi-ld:Indicator:Disclosure_of_metrics_that_include_value_chain_data_estimated_using_indirect_sources,2,success,
urn:sds:reg:esrs:bp_2_04,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_04,urn:ngsi-ld:Indicator:Description_of_basis_for_preparation_of_metrics_that_include_value_chain_data_estimated_using_in,2,success,
urn:sds:reg:esrs:bp_2_05,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_05,urn:ngsi-ld:Indicator:Description_of_resulting_level_of_accuracy_of_metrics_that_include_value_chain_data_estimated_us,2,success,
urn:sds:reg:esrs:bp_2_06,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_06,urn:ngsi-ld:Indicator:Description_of_planned_actions_to_improve_accuracy_in_future_of_metrics_that_include_value_chain,2,success,
urn:sds:reg:esrs:bp_2_07,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_07,urn:ngsi-ld:Indicator:Disclosure_of_quantitative_metrics_and_monetary_amounts_disclosed_that_are_subject_to_high_level,2,success,
urn:sds:reg:esrs:bp_2_08,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_08,urn:ngsi-ld:Indicator:Disclosure_of_sources_of_measurement_uncertainty,2,success,
urn:sds:reg:esrs:bp_2_09,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_09,urn:ngsi-ld:Indicator:Disclosure_of_assumptions_approximations_and_judgements_made_in_measurement,2,success,
urn:sds:reg:esrs:bp_2_10,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_10,urn:ngsi-ld:Indicator:Explanation_of_changes_in_preparation_and_presentation_of_sustainability_information_and_reasons,2,success,
urn:sds:reg:esrs:bp_2_11,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_11,urn:ngsi-ld:Indicator:Adjustment_of_comparative_information_for_one_or_more_prior_periods_is_impracticable,2,success,
urn:sds:reg:esrs:bp_2_12,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_12,urn:ngsi-ld:Indicator:Disclosure_of_difference_between_figures_disclosed_in_preceding_period_and_revised_comparative_f,2,success,
urn:sds:reg:esrs:bp_2_13,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_13,urn:ngsi-ld:Indicator:Disclosure_of_nature_of_prior_period_material_errors,2,success,
urn:sds:reg:esrs:bp_2_14,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_14,urn:ngsi-ld:Indicator:Disclosure_of_corrections_for_prior_periods_included_in_sustainability_statement,2,success,
urn:sds:reg:esrs:bp_2_15,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_15,urn:ngsi-ld:Indicator:Disclosure_of_why_correction_of_prior_period_errors_is_not_practicable,2,success,
urn:sds:reg:esrs:bp_2_16,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_16,urn:ngsi-ld:Indicator:Disclosure_of_other_legislation_or_generally_accepted_sustainability_reporting_standards_and_fra,2,success,
urn:sds:reg:esrs:bp_2_17,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_17,urn:ngsi-ld:Indicator:Disclosure_of_reference_to_paragraphs_of_standard_or_framework_applied,2,success,
urn:sds:reg:esrs:bp_2_18,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_18,urn:ngsi-ld:Indicator:European_standards_approved_by_European_Standardisation_System_ISO_IEC_or_CEN_CENELEC_standards_,2,success,
urn:sds:reg:esrs:bp_2_19,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_19,urn:ngsi-ld:Indicator:Disclosure_of_extent_to_which_data_and_processes_that_are_used_for_sustainability_reporting_purp,2,success,
urn:sds:reg:esrs:bp_2_20,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_20,urn:ngsi-ld:Indicator:List_of_DRs_or_DPs_incorporated_by_reference,2,success,
urn:sds:reg:esrs:bp_2_21,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_21,urn:ngsi-ld:Indicator:Topics_E4_S1_S2_S3_S4_have_been_assessed_to_be_material,2,success,
urn:sds:reg:esrs:bp_2_22,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_22,urn:ngsi-ld:Indicator:List_of_sustainability_matters_assessed_to_be_material_phase-in_,2,success,
urn:sds:reg:esrs:bp_2_23,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_23,urn:ngsi-ld:Indicator:Disclosure_of_how_business_model_and_strategy_take_account_of_impacts_related_to_sustainability_,2,success,
urn:sds:reg:esrs:bp_2_24,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_24,urn:ngsi-ld:Indicator:Description_of_any_time-bound_targets_set_related_to_sustainability_matters_assessed_to_be_mater,2,success,
urn:sds:reg:esrs:bp_2_25,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_25,urn:ngsi-ld:Indicator:Description_of_policies_related_to_sustainability_matters_assessed_to_be_material_phase-in_,2,success,
urn:sds:reg:esrs:bp_2_26,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_26,urn:ngsi-ld:Indicator:Description_of_actions_taken_to_identify_monitor_prevent_mitigate_remediate_or_bring_end_to_actu,2,success,
urn:sds:reg:esrs:bp_2_27,ESRS Official,Transversal,urn:ngsi-ld:Dataset:esrs_bp_2_27,urn:ngsi-ld:Indicator:Disclosure_of_metrics_related_to_sustainability_matters_assessed_to_be_material_phase-in_,2,success,
urn:sds:reg:esrs:e1_1_01,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_01,urn:ngsi-ld:Indicator:Disclosure_of_transition_plan_for_climate_change_mitigation,2,success,
