identifier,source_ref,expected_title,observed_title,expected_dimension,observed_dimension,expected_indicator,observed_indicator,indicator_id,status,error
urn:sds:reg:esrs:bp_1_01,ESRS Official,Basis for preparation of sustainability statement,Basis for preparation of sustainability statement,Transversal,Transversal,Basis for preparation of sustainability statement,Basis for preparation of sustainability statement,urn:ngsi-ld:Indicator:Basis_for_preparation_of_sustainability_statement,success,
urn:sds:reg:gri:gri_101_1_a,GRI Official,"describe its policies or commitments to halt and reverse biodiversity loss, and how
these are informed by the 2050 Goals and 2030 Targets in the Kunming-Montreal Global
Biodiversity Framework;","describe its policies or commitments to halt and reverse biodiversity loss, and how
these are informed by the 2050 Goals and 2030 Targets in the Kunming-Montreal Global
Biodiversity Framework;",E,E,"describe its policies or commitments to halt and reverse biodiversity loss, and how
these are informed by the 2050 Goals and 2030 Targets in the Kunming-Montreal Global
Biodiversity Framework;","describe its policies or commitments to halt and reverse biodiversity loss, and how
these are informed by the 2050 Goals and 2030 Targets in the Kunming-Montreal Global
Biodiversity Framework;",urn:ngsi-ld:Indicator:describe_its_policies_or_commitments_to_halt_and_reverse_biodiversity_loss_and_how_these_are_inf,success,
urn:sds:reg:esrs:bp_1_02,ESRS Official,Scope of consolidation of consolidated sustainability statement is same as for financial statements,Scope of consolidation of consolidated sustainability statement is same as for financial statements,Transversal,Transversal,Scope of consolidation of consolidated sustainability statement is same as for financial statements,Scope of consolidation of consolidated sustainability statement is same as for financial statements,urn:ngsi-ld:Indicator:Scope_of_consolidation_of_consolidated_sustainability_statement_is_same_as_for_financial_stateme,success,
urn:sds:reg:gri:gri_101_1_b,GRI Official,"report the extent to which these policies or commitments apply to the organization’s
activities and to its business relationships;","report the extent to which these policies or commitments apply to the organization’s
activities and to its business relationships;",E,E,"report the extent to which these policies or commitments apply to the organization’s
activities and to its business relationships;","report the extent to which these policies or commitments apply to the organization’s
activities and to its business relationships;",urn:ngsi-ld:Indicator:report_the_extent_to_which_these_policies_or_commitments_apply_to_the_organization_s_activities_,success,
urn:sds:reg:esrs:bp_1_03,ESRS Official,Indication of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting,Indication of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting,Transversal,Transversal,Indication of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting,Indication of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting,urn:ngsi-ld:Indicator:Indication_of_subsidiary_undertakings_included_in_consolidation_that_are_exempted_from_individua,success,
urn:sds:reg:gri:gri_101_1_c,GRI Official,"report the goals and targets to halt and reverse biodiversity loss, whether they are
informed by scientific consensus, the base year, and the indicators used to evaluate
progress.","report the goals and targets to halt and reverse biodiversity loss, whether they are
informed by scientific consensus, the base year, and the indicators used to evaluate
progress.",E,E,"report the goals and targets to halt and reverse biodiversity loss, whether they are
informed by scientific consensus, the base year, and the indicators used to evaluate
progress.","report the goals and targets to halt and reverse biodiversity loss, whether they are
informed by scientific consensus, the base year, and the indicators used to evaluate
progress.",urn:ngsi-ld:Indicator:report_the_goals_and_targets_to_halt_and_reverse_biodiversity_loss_whether_they_are_informed_by_,success,
urn:sds:reg:esrs:bp_1_04,ESRS Official,Disclosure of extent to which sustainability statement covers upstream and downstream value chain,Disclosure of extent to which sustainability statement covers upstream and downstream value chain,Transversal,Transversal,Disclosure of extent to which sustainability statement covers upstream and downstream value chain,Disclosure of extent to which sustainability statement covers upstream and downstream value chain,urn:ngsi-ld:Indicator:Disclosure_of_extent_to_which_sustainability_statement_covers_upstream_and_downstream_value_chai,success,
urn:sds:reg:gri:gri_101_2_a,GRI Official,report how it applies the mitigation hierarchy by describing:,report how it applies the mitigation hierarchy by describing:,E,E,report how it applies the mitigation hierarchy by describing:,report how it applies the mitigation hierarchy by describing:,urn:ngsi-ld:Indicator:report_how_it_applies_the_mitigation_hierarchy_by_describing_,success,
urn:sds:reg:esrs:bp_1_05,ESRS Official,"Option to omit specific piece of information corresponding to intellectual property, know-how or results of innovation has been used","Option to omit specific piece of information corresponding to intellectual property, know-how or results of innovation has been used",Transversal,Transversal,"Option to omit specific piece of information corresponding to intellectual property, know-how or results of innovation has been used","Option to omit specific piece of information corresponding to intellectual property, know-how or results of innovation has been used",urn:ngsi-ld:Indicator:Option_to_omit_specific_piece_of_information_corresponding_to_intellectual_property_know-how_or_,success,
urn:sds:reg:gri:gri_101_2_a_i,GRI Official,actions taken to avoid negative impacts on biodiversity;,actions taken to avoid negative impacts on biodiversity;,E,E,actions taken to avoid negative impacts on biodiversity;,actions taken to avoid negative impacts on biodiversity;,urn:ngsi-ld:Indicator:actions_taken_to_avoid_negative_impacts_on_biodiversity_,success,
urn:sds:reg:esrs:bp_1_06,ESRS Official,Option allowed by Member State to omit disclosure of impending developments or matters in course of negotiation has been used,Option allowed by Member State to omit disclosure of impending developments or matters in course of negotiation has been used,Transversal,Transversal,Option allowed by Member State to omit disclosure of impending developments or matters in course of negotiation has been used,Option allowed by Member State to omit disclosure of impending developments or matters in course of negotiation has been used,urn:ngsi-ld:Indicator:Option_allowed_by_Member_State_to_omit_disclosure_of_impending_developments_or_matters_in_course,success,
urn:sds:reg:gri:gri_101_2_a_ii,GRI Official,actions taken to minimize negative impacts on biodiversity that were not avoided;,actions taken to minimize negative impacts on biodiversity that were not avoided;,E,E,actions taken to minimize negative impacts on biodiversity that were not avoided;,actions taken to minimize negative impacts on biodiversity that were not avoided;,urn:ngsi-ld:Indicator:actions_taken_to_minimize_negative_impacts_on_biodiversity_that_were_not_avoided_,success,
urn:sds:reg:esrs:bp_2_01,ESRS Official,Disclosure of definitions of medium- or long-term time horizons,Disclosure of definitions of medium- or long-term time horizons,Transversal,Transversal,Disclosure of definitions of medium- or long-term time horizons,Disclosure of definitions of medium- or long-term time horizons,urn:ngsi-ld:Indicator:Disclosure_of_definitions_of_medium-_or_long-term_time_horizons,success,
urn:sds:reg:gri:gri_101_2_a_iii,GRI Official,"actions taken to restore and rehabilitate affected ecosystems, including the goals
of the restoration and rehabilitation, and how stakeholders are engaged
throughout the restoration and rehabilitation actions;","actions taken to restore and rehabilitate affected ecosystems, including the goals
of the restoration and rehabilitation, and how stakeholders are engaged
throughout the restoration and rehabilitation actions;",E,E,"actions taken to restore and rehabilitate affected ecosystems, including the goals
of the restoration and rehabilitation, and how stakeholders are engaged
throughout the restoration and rehabilitation actions;","actions taken to restore and rehabilitate affected ecosystems, including the goals
of the restoration and rehabilitation, and how stakeholders are engaged
throughout the restoration and rehabilitation actions;",urn:ngsi-ld:Indicator:actions_taken_to_restore_and_rehabilitate_affected_ecosystems_including_the_goals_of_the_restora,success,
urn:sds:reg:esrs:bp_2_02,ESRS Official,Disclosure of reasons for applying different definitions of time horizons,Disclosure of reasons for applying different definitions of time horizons,Transversal,Transversal,Disclosure of reasons for applying different definitions of time horizons,Disclosure of reasons for applying different definitions of time horizons,urn:ngsi-ld:Indicator:Disclosure_of_reasons_for_applying_different_definitions_of_time_horizons,success,
urn:sds:reg:gri:gri_101_2_a_iv,GRI Official,actions taken to offset residual negative impacts on biodiversity;,actions taken to offset residual negative impacts on biodiversity;,E,E,actions taken to offset residual negative impacts on biodiversity;,actions taken to offset residual negative impacts on biodiversity;,urn:ngsi-ld:Indicator:actions_taken_to_offset_residual_negative_impacts_on_biodiversity_,success,
urn:sds:reg:esrs:bp_2_03,ESRS Official,Disclosure of metrics that include value chain data estimated using indirect sources,Disclosure of metrics that include value chain data estimated using indirect sources,Transversal,Transversal,Disclosure of metrics that include value chain data estimated using indirect sources,Disclosure of metrics that include value chain data estimated using indirect sources,urn:ngsi-ld:Indicator:Disclosure_of_metrics_that_include_value_chain_data_estimated_using_indirect_sources,success,
urn:sds:reg:gri:gri_101_2_a_v,GRI Official,transformative actions taken and additional conservation actions taken;,transformative actions taken and additional conservation actions taken;,E,E,transformative actions taken and additional conservation actions taken;,transformative actions taken and additional conservation actions taken;,urn:ngsi-ld:Indicator:transformative_actions_taken_and_additional_conservation_actions_taken_,success,
urn:sds:reg:esrs:bp_2_04,ESRS Official,Description of basis for preparation of metrics that include value chain data estimated using indirect sources,Description of basis for preparation of metrics that include value chain data estimated using indirect sources,Transversal,Transversal,Description of basis for preparation of metrics that include value chain data estimated using indirect sources,Description of basis for preparation of metrics that include value chain data estimated using indirect sources,urn:ngsi-ld:Indicator:Description_of_basis_for_preparation_of_metrics_that_include_value_chain_data_estimated_using_in,success,
urn:sds:reg:gri:gri_101_2_b,GRI Official,"with reference to 101-2-a-iii, report for each site with the most significant impacts on
biodiversity:","with reference to 101-2-a-iii, report for each site with the most significant impacts on
biodiversity:",E,E,"with reference to 101-2-a-iii, report for each site with the most significant impacts on
biodiversity:","with reference to 101-2-a-iii, report for each site with the most significant impacts on
biodiversity:",urn:ngsi-ld:Indicator:with_reference_to_101-2-a-iii_report_for_each_site_with_the_most_significant_impacts_on_biodiver,success,
urn:sds:reg:esrs:bp_2_05,ESRS Official,Description of resulting level of accuracy of metrics that include value chain data estimated using indirect sources,Description of resulting level of accuracy of metrics that include value chain data estimated using indirect sources,Transversal,Transversal,Description of resulting level of accuracy of metrics that include value chain data estimated using indirect sources,Description of resulting level of accuracy of metrics that include value chain data estimated using indirect sources,urn:ngsi-ld:Indicator:Description_of_resulting_level_of_accuracy_of_metrics_that_include_value_chain_data_estimated_us,success,
urn:sds:reg:gri:gri_101_2_b_i,GRI Official,the size in hectares of the area under restoration or rehabilitation;,the size in hectares of the area under restoration or rehabilitation;,E,E,the size in hectares of the area under restoration or rehabilitation;,the size in hectares of the area under restoration or rehabilitation;,urn:ngsi-ld:Indicator:the_size_in_hectares_of_the_area_under_restoration_or_rehabilitation_,success,
urn:sds:reg:esrs:bp_2_06,ESRS Official,Description of planned actions to improve accuracy in future of metrics that include value chain data estimated using indirect sources,Description of planned actions to improve accuracy in future of metrics that include value chain data estimated using indirect sources,Transversal,Transversal,Description of planned actions to improve accuracy in future of metrics that include value chain data estimated using indirect sources,Description of planned actions to improve accuracy in future of metrics that include value chain data estimated using indirect sources,urn:ngsi-ld:Indicator:Description_of_planned_actions_to_improve_accuracy_in_future_of_metrics_that_include_value_chain,success,
urn:sds:reg:gri:gri_101_2_b_ii,GRI Official,the size in hectares of the area restored or rehabilitated;,the size in hectares of the area restored or rehabilitated;,E,E,the size in hectares of the area restored or rehabilitated;,the size in hectares of the area restored or rehabilitated;,urn:ngsi-ld:Indicator:the_size_in_hectares_of_the_area_restored_or_rehabilitated_,success,
urn:sds:reg:esrs:bp_2_07,ESRS Official,Disclosure of quantitative metrics and monetary amounts disclosed that are subject to high level of measurement uncertainty,Disclosure of quantitative metrics and monetary amounts disclosed that are subject to high level of measurement uncertainty,Transversal,Transversal,Disclosure of quantitative metrics and monetary amounts disclosed that are subject to high level of measurement uncertainty,Disclosure of quantitative metrics and monetary amounts disclosed that are subject to high level of measurement uncertainty,urn:ngsi-ld:Indicator:Disclosure_of_quantitative_metrics_and_monetary_amounts_disclosed_that_are_subject_to_high_level,success,
urn:sds:reg:gri:gri_101_2_c,GRI Official,"with reference to 101-2-a-iv, report for each offset:","with reference to 101-2-a-iv, report for each offset:",E,E,"with reference to 101-2-a-iv, report for each offset:","with reference to 101-2-a-iv, report for each offset:",urn:ngsi-ld:Indicator:with_reference_to_101-2-a-iv_report_for_each_offset_,success,
urn:sds:reg:esrs:bp_2_08,ESRS Official,Disclosure of sources of measurement uncertainty,Disclosure of sources of measurement uncertainty,Transversal,Transversal,Disclosure of sources of measurement uncertainty,Disclosure of sources of measurement uncertainty,urn:ngsi-ld:Indicator:Disclosure_of_sources_of_measurement_uncertainty,success,
urn:sds:reg:gri:gri_101_2_c_i,GRI Official,the goals;,the goals;,E,E,the goals;,the goals;,urn:ngsi-ld:Indicator:the_goals_,success,
urn:sds:reg:esrs:bp_2_09,ESRS Official,"Disclosure of assumptions, approximations and judgements made in measurement","Disclosure of assumptions, approximations and judgements made in measurement",Transversal,Transversal,"Disclosure of assumptions, approximations and judgements made in measurement","Disclosure of assumptions, approximations and judgements made in measurement",urn:ngsi-ld:Indicator:Disclosure_of_assumptions_approximations_and_judgements_made_in_measurement,success,
urn:sds:reg:gri:gri_101_2_c_ii,GRI Official,the geographic location;,the geographic location;,E,E,the geographic location;,the geographic location;,urn:ngsi-ld:Indicator:the_geographic_location_,success,
urn:sds:reg:esrs:bp_2_10,ESRS Official,Explanation of changes in preparation and presentation of sustainability information and reasons for them,Explanation of changes in preparation and presentation of sustainability information and reasons for them,Transversal,Transversal,Explanation of changes in preparation and presentation of sustainability information and reasons for them,Explanation of changes in preparation and presentation of sustainability information and reasons for them,urn:ngsi-ld:Indicator:Explanation_of_changes_in_preparation_and_presentation_of_sustainability_information_and_reasons,success,
urn:sds:reg:gri:gri_101_2_c_iii,GRI Official,whether and how principles of good offset practices are met;,whether and how principles of good offset practices are met;,E,E,whether and how principles of good offset practices are met;,whether and how principles of good offset practices are met;,urn:ngsi-ld:Indicator:whether_and_how_principles_of_good_offset_practices_are_met_,success,
urn:sds:reg:esrs:bp_2_11,ESRS Official,Adjustment of comparative information for one or more prior periods is impracticable,Adjustment of comparative information for one or more prior periods is impracticable,Transversal,Transversal,Adjustment of comparative information for one or more prior periods is impracticable,Adjustment of comparative information for one or more prior periods is impracticable,urn:ngsi-ld:Indicator:Adjustment_of_comparative_information_for_one_or_more_prior_periods_is_impracticable,success,
urn:sds:reg:gri:gri_101_2_c_iv,GRI Official,whether and how the offset is certified or verified by a third party;,whether and how the offset is certified or verified by a third party;,E,E,whether and how the offset is certified or verified by a third party;,whether and how the offset is certified or verified by a third party;,urn:ngsi-ld:Indicator:whether_and_how_the_offset_is_certified_or_verified_by_a_third_party_,success,
